ID_Uzorka;GPS_LAT;GPS_LONG
1;18,478913;77,383214
2;18,476455;77,371691
3;18,48011;77,39447
4;18,484115;77,394652
5;18,485313;77,38275
6;18,488625;77,381392
7;18,472724;77,384288
8;18,470064;77,397092
9;18,484196;77,392481
10;18,473842;77,395453
11;18,473743;77,400118
12;18,468561;77,392301
13;18,477762;77,387543
14;18,473514;77,375416
15;18,479911;77,39596
16;18,49319;77,387599
17;18,467856;77,395918
18;18,495174;77,392058
19;18,485388;77,394975
20;18,467381;77,38972
21;18,487097;77,391293
22;18,471793;77,391343
23;18,470959;77,390974
24;18,480616;77,401656
25;18,489563;77,403743
26;18,492717;77,376668
27;18,471608;77,386235
28;18,483156;77,398393
29;18,496532;77,398685
30;18,483875;77,384527
31;18,474047;77,392878
32;18,481498;77,398649
33;18,487273;77,389616
34;18,491358;77,378011
35;18,460376;77,389315
36;18,457929;77,385742
37;18,498306;77,400512
38;18,493709;77,369459
39;18,484154;77,392536
40;18,475121;77,381545
41;18,50391;77,386488
42;18,456384;77,391019
43;18,486811;77,394918
44;18,47826;77,395893
45;18,484016;77,390039
46;18,491147;77,393187
47;18,499205;77,382143
48;18,478511;77,393819
49;18,473396;77,389339
50;18,478841;77,380172
51;18,47561;77,396922
52;18,488589;77,387695
53;18,495738;77,395928
54;18,486232;77,38287
55;18,485393;77,382403
56;18,455221;77,38069
57;18,486549;77,390496
58;18,466857;77,398234
59;18,468444;77,37895
60;18,480991;77,377714
61;18,480967;77,378949
62;18,481837;77,396751
63;18,492077;77,39464
64;18,487646;77,405194
65;18,470348;77,391963
66;18,486009;77,390342
67;18,477767;77,395943
68;18,497067;77,372296
69;18,47343;77,387955
70;18,498228;77,386868
71;18,472766;77,396413
72;18,483973;77,392134
73;18,482123;77,385956
74;18,486695;77,401471
75;18,499151;77,404071
76;18,481751;77,381042
77;18,475995;77,39831
78;18,461947;77,406658
79;18,494468;77,390456
80;18,45891;77,400464
81;18,493386;77,396284
82;18,476222;77,396902
83;18,485014;77,384981
84;18,470073;77,402189
85;18,471179;77,391998
86;18,474415;77,3792
87;18,486024;77,397275
88;18,483139;77,399652
89;18,480971;77,390268
90;18,473226;77,401768
91;18,489559;77,384105
92;18,4745;77,381758
